performance_id|piece_1_feedback|piece_2_feedback
ABNjjnRY|['sensitive/positive', 'voicing/positive', 'balance/positive', 'pedalling/positive', 'dynamics/negative']|['jaunty/positive', 'pulse/negative', 'differentiation/positive', 'character/positive', 'poise/negative']
AKdyEpzx|['conviction/positive', 'steadiness/positive', 'unevenness/negative', 'missteps/negative', 'crispness/positive']|['reflective/positive', 'rubato/positive', 'slips/negative', 'hesitations/negative', 'continuity/negative']
ANGZVzLJ|['cohesive/positive', 'understated/negative', 'bold/positive', 'confident/positive', 'effective/positive']|['energetic/positive', 'bright/positive', 'inconsistent/negative', 'expressive/positive', 'poised/positive']
AXQjlaMm|['lively/positive', 'bright/positive', 'momentum/positive', 'muffled/negative', 'loose/negative']|['steady/positive', 'reserved/negative', 'understated/negative', 'unshaped/negative', 'focused/positive']
AlpvMldm|['legato/positive', 'fluidity/positive', 'hurried/negative', 'poise/negative', 'phrasing/negative']|['secure/positive', 'grounded/positive', 'fragmented/negative', 'ambience/positive', 'insight/negative']
AnnZZROw|['rubato/positive', 'fluency/negative', 'articulation/positive', 'accuracy/positive', 'confidence/positive']|['clarity/positive', 'control/positive', 'blemish/negative', 'defined/positive', 'managed/positive']
AoLzrpke|['vibrant/positive', 'articulation/positive', 'buoyant/positive', 'blemishes/negative', 'inaccuracy/negative']|['dynamic/positive', 'projection/positive', 'delicate/positive', 'inconsistency/negative', 'intonation/negative']
AwVaKBPW|['grounded/positive', 'articulation/positive', 'uneven/negative', 'imbalanced/negative', 'assertive/positive']|['evocative/positive', 'delicate/positive', 'florid/positive', 'irregular/negative', 'stylish/positive']
AynZVRKK|['warm/positive', 'expressive/positive', 'fluent/positive', 'overshadowed/negative', 'blurred/negative']|['crisp/positive', 'energetic/positive', 'blemishes/negative', 'untidy/negative', 'reliable/positive']
BEzAjZQr|['expressive/positive', 'confident/positive', 'delicate/positive', 'over-dominated/negative', 'inconsistent/negative']|['contrasting/positive', 'sustained/positive', 'strong/positive', 'erratic/negative', 'paced/positive']
BJxOeYDD|['flamboyance/positive', 'lively/positive', 'fluent/positive', 'brightness/positive', 'slips/negative']|['vibrant/positive', 'dynamic/positive', 'bright/positive', 'phrasing/negative', 'rushing/negative']
BKdJlEmO|['pulse/positive', 'articulation/positive', 'playfulness/negative', 'contrast/negative', 'flow/positive']|['bounce/positive', 'rigid/negative', 'variation/negative', 'humour/negative', 'vigour/positive']
BZAQwvKZ|['expressive/positive', 'rubato/positive', 'reserved/negative', 'blurring/negative', 'balanced/positive']|['vivacity/positive', 'dynamics/positive', 'enthusiasm/positive', 'inconsistency/negative', 'voicing/negative']
