performance_id,age_group,ability_group,title_piece_1,composer_piece_1,title_piece_2,composer_piece_2,mark,feedback
ABNjjnRY,7-9,Up to Grade 5,Flower Dance,DJ Okawari,Big City Blues,Nancy Faber,78,"There was a sensitivity of tone in Flower Dance, with some considered voicing and balance, supported by effective pedalling, although scope for more rise and fall in the dynamic shaping to fully support the style.  Big City Blues, was jaunty in tempo, though the pulse needed to be more robust with tighter rhythmic motifs at times. Dynamics were contrasted and there was a good sense of the character overall.  There was clear differentiation of musical character in this performance, although more poise and sense of space was possible when moving between the pieces.  A strong sense of communication and involvement in your playing came across - well done."
AKdyEpzx,16-18,Grade 5 and above,ALLA TURCA,W. A. MOZART,IL PORCO ROSSO,JOE HISAISHI,63,"The Rondo Alla Turca was projected with good conviction and a regular pulse was mostly achieved. There was unevenness at times in the semiquavers and quite a few ’splashes’ occurred in the octave work, along with several misdirected notes. Crisper articulations and more energised dynamic contrasts would have added to the characterisation. The final passages slowed somewhat from the initial tempo but you kept the overall flow going and concluded the piece with appropriate vigour.  In ’Il Porco Rosso’ you portrayed the reflective ambience thoughtfully, providing some effective use of rubato. There were a few note slips and rhythmical hesitations along the way, for example in the triplet figures. The flow needed to be more continuous overall, with a more regular underlying pulse, though the melodic line was carefully highlighted and you conveyed a graceful sense of shape within your phrases.  The programme was calmly presented, if needing a little more sense of space in between the items. Though in need of further precision and fluency, there was a clear grasp of the contrasting styles and a commitment to the mood and shape of each piece.  Some enjoyable playing developing - well done and good luck in all your future piano playing."
ANGZVzLJ,10-12,Up to Grade 5,Cloudy Day,Christopher Norton,Sparkling Splashes & Smooth Water,Barbara Arens,75,"There was a reliability of flow in the notes of Cloudy Day although more exploration of softer tones, with scope for bolder dynamic terracing would have supported the narrative. Contrasted articulations and a steady pulse were confidently in place with pedalling mostly effective.  A lively opening tempo and bright tone supported the narrative of the Arens, and although the consistency of pulse fluctuated noticeably between the staccato and legato passages, the tonal colours were vivid and the notes very robust.  There was a good awareness of the contrasting musical characters of your chosen pieces and a sense of poise in the overall pacing of the presentation.  Musical expression and intent was evident in the second piece - well done."
AXQjlaMm,10-12,Up to Grade 5,The Musical Clock Spillevaerket,Carl Nielsen,Valse KK IVb Nr. 11,Chopin,67,"A lively tempo suited the style of the Neilsen and the tone was bright to open, with musical details observed, although more clarity in projection would have further animated the narratve. Coordination of the hands often needed to be tighter but a good sense of momentum was maintained.  The Chopin Valse was mostly steady in pulse if initially on the reserved side tempo wise, needing further rhythmic lilt. Dynamic contrast and inparticular more shaping of phrases would have supported the elegance of the style further, but the notes were largely secure.  Reliability of notes and flow were present in this performance with contrast between the styles apparent although needing further vibrancy in detail and more tonal shaping.  A good sense of focus was present in your playing."
AlpvMldm,10-12,Up to Grade 5,Always With Me,Youmi Kimura,Spraymist,W. Carroll,77,"The legato playing in Always with Me was smoothly connected, helping bring a sense of fluidity to the lines. The flow was slightly hurried, needing more poise and control overall to draw out the piece’s mood, and there was scope for more shapely phrasing, though the ending held a more sincere feeling of poise.  Spraymist was rhythmically secure and well-grounded, and as the piece progressed there were moments of flexibility in the flow. A more overarching feeling of phrase and line was needed, and sometimes the passages were a little fragmented, but you achieved a good feeling of ambience at the conclusion.  There was much to commend in the technical delivery, which showed security for much of the time, despite the rushed feel of the opening work. Moments of clear expressive input were conveyed in the second piece, even if overall there was room for more insight and variety in the phrasing, while more time and space at the conclusion of each piece was needed to allow the music to settle and better frame the programme, which was otherwise focused and showed real commitment.  Well done on some fine, tonally sensitive playing!"
AnnZZROw,7-9,Grade 5 and above,"Waltz In A Minor, B.150, Op. Posth",F. Chopin,Fountain In The Rain,William Gillock,89,"The Waltz made effective use of rubato, the melodic line shaped with both tempo and tonal flexibility.  There was scope for further initial fluency to convey the dance style, allthough the triple metre was consistently defined by appropriate articulation in the accompaniment, and although even greater dynamic wudth was possible, the quieter levels only found in the final section, this was accurately and musically played.  'Fountains in the Rain' highlighted melodic notes clearly, and phrase shaping was largely controlled.  The accompanying semiquavers were mostly even, just occasional blemish of evenness in hand alternation occurring, and the programmatic elements of the piece were defined, the cadenza-like passage particularly well managed.  Although dynamic variation was in place, however, there was scope for greater use of the extremes of range, quieter levels in particular needing greater exploration, and some points of slowing were a little too emphatic.  Nevertheless, this was an accurate and characterful account overall.  Your commitment and stylistic engagement were obvious throughout this performance, the contrasts of style defined and with confidence maintained throughout its accurate delivery.  Greater tonal exploration, particularly in terms of quieter levels would have enhanced the contrasts, but the focus evident in your playing could not be faulted.    Many congratulations on this excellent performance and I wish you every success in your future musical ventures."
AoLzrpke,13-15,Grade 5 and above,Pop Corn,Akira Yuyama,Musical Sketch in B flat,Felix Mendelssohn,78,"’Popcorn’ was played with vibrancy and convincing variations of articulation and tonal weight. Even greater dynamic width would have enhanced musical character, particularly at extremes of range, and there were one or two blemishes of evenness and pitch placement towards the end of the middle section. However, the buoyant character was retained, with melodic tone bright and textural balancing generally assured.  The Mendelssohn saw appropriate tonal graduation and wide dynamic contrasts, the melody largely projecting securely at the top of the changing texture. The smoothness of line was not consistently maintained, greater use of the sustaining pedal needed to support legato and harmonic resonance, although despite occasional blemish of pitch centring in the left hand, this was a tonally varied and delicate account.  Confidence of delivery was in this performance, despite occasional blemish, and throughout, you played with focus and stylistic integrity. More warmth of tone in the Mendelssohn would have supported the stylistic contrast, although musical poise was consistent, with focus apparent at all times.  Congratulations on this very good performance, the vibrancy of the first piece a particular highlight. I wish you all the best in your future musical ventures."
AwVaKBPW,10-12,Up to Grade 5,Ballade,Friedrich Burgmuller,Fountain in the Rain,William Gillock,87,"Burgmüller's Ballade was firmly grounded from the outset, and details of accents and articulation vividly brought out the character of the opening passages. There were moments of slight unevenness of tone and rhythm along the way, and there was scope for more nuanced balance at times, but this was largely an assertive account.  Your playing of Fountain in the Rain evoked the musical style effectively, delicately defining the figures, all warmly supported by effective use of the sustaining pedal.  The more florid cadenza-like passages in the middle were particularly compelling, though subsequently there needed more rhythmical regularity to be upheld.  Otherwise this was stylish playing.  You brought flair and poise to the presentation, and a real feeling of performance awareness was communicated.  While rhythmical consistency wasn't fully assured, other elements of the technical delivery showed greater security and confidence, and there was expressive input achieved, especially in the rippling character of the second work.  Congratulations on bringing such strong intensity and involvement to your playing!"
AynZVRKK,13-15,Up to Grade 5,Voyage of the Sampan,Arranged by Charmaine Siagian,My Lady's Ride (Burgmuller op. 100 no. 25),Burgmuller,79,"’Voyage of the Sampan’ had a warm tone and rhythmic accompanying quavers. The main melody was sensitively shaped, but rather overshadowed at times, with pedalling sometimes blurring textures and harmonic changes. Room for a wider dynamic range, particularly quieter playing - though there was some careful shaping. Overall this was fluent and captured the expressive mood.  The Burgmuller had crisp staccato chords and energetic momentum at the start. There were blemishes and untidy moments between parts along the way, with unison passages not consistently coordinated, and some inconsistent phrasing. Slightly unsteady pulse in the final passages, with slower tempo; overall this was reliable and characterful, with varied dynamics.  This was a fluent and well-paced presentation; different styles were communicated with some careful musical details, though dynamic range was often limited, with parts not always carefully balanced. Technical details were mainly secure, apart from slips and untidy moments; overall this was a musical performance.  I particularly liked the bright energy you conveyed in the Burgmuller."
BEzAjZQr,10-12,Grade 5 and above,Intermezzo in A,Johannes Brahms,Night Pieces Part III Stars,Peter Sculthorpe,80,"The Brahms was well sustained and phrasing often had a sense of expressive shape. Glimpses of flexibility coloured shaping, but there was room to highlight more poignant moments with further delicacy. Quieter playing was not always magical enough and accompanying figures sometimes over-dominated the texture. However, hands worked together with confidence most of the time, and the sincerity of the middle section was especially well delivered.   Stars was immediately contrasting in approach and the sustained character was immediately established. The overall dynamic level was rather strong, especially in the first section, and there was scope for further freedom overall. Details of articulation lacked really consistent attention, but the end was carefully paced, with reflective space beyond the final note.  This was a confident performance, showing a good grasp of the different styles. Not all the refined detail was consistently added, and quieter playing tended to be a little strong. There was scope to experiment with flexibility of shaping in both pieces, but a clear feeling of control and enjoyment came across.  Well done. This was a poised and technically assured performance."
BJxOeYDD,13-15,Grade 5 and above,"Prelude & Fugue 5 in D major, BWV850",JS Bach,"Rondo (2nd movt fr Sonatina in A major, op.59 no.1)",Friedrich Kuhlau,85,"Bach’s Prelude saw a suitable air of flamboyance, the tempo lively and with much of the fingerwork fluent and even. Further tonal shaping of the line would have enhanced musical direction, and this was similar in the Fugue, where greater tonal variation would have given even stronger definition to the structure. However, tone remained bright, and aside from a few pitch slips in the Fugue, this was confidently played, the counterpoint largely clear.    The vibrancy of the Kuhlau movement was evident from the outset, and clear dynamic contrasts helped to support its musical outline. Although melodic tone remained bright, there was scope for further phrasing and shaping of the figures, and later rushing led to moments of unevenness and blemish in pitch centring in the recapitualtion. However, this was a technically assured rendition overall.    This was a strong performance overall in which you showed clear musical commitment and involvement, suitable time allowed between the two works to enable the styles to settle, and in which overall technical security supported a good degree of accuracy. Even more tonal nuance was possible to enhance outline, although the overall character of each piece was consistently evident.    Congratulations on this excellent performance. I particularly enjoyed the tonal brightness and commitment of your playing and wish you the best for future musical ventures."
